WAVELENGTH,AR Reflecttance @ 00 AOI,AR Reflecttance @ 30 AOI,AR Transmittance @ 00 AOI,AR Transmittance @ 30 AOI
3,1.167933,0.60583,91.920654,91.783551
3.002,1.154697,0.590827,91.995775,91.854769
3.004,1.138229,0.578555,92.076533,91.932849
3.006,1.119449,0.569048,92.156241,92.00372
3.008,1.101032,0.561,92.221315,92.044997
3.01,1.083133,0.554522,92.27695,92.068391
3.012,1.066592,0.55055,92.331113,92.089221
3.014,1.050661,0.547273,92.391723,92.12553
3.016,1.035695,0.54542,92.466944,92.192451
3.018,1.020843,0.54127,92.542848,92.263923
3.02,1.006219,0.534407,92.614394,92.33105
3.022,0.990398,0.522293,92.670161,92.370273
3.024,0.974113,0.5069,92.715326,92.390382
3.026,0.956537,0.491932,92.759929,92.406924
3.028,0.938545,0.480384,92.813337,92.436833
3.03,0.919385,0.47375,92.883159,92.492729
3.032,0.902833,0.469093,92.955278,92.553881
3.034,0.889101,0.465344,93.026584,92.615624
3.036,0.881108,0.45813,93.080402,92.653791
3.038,0.877467,0.448279,93.121077,92.673609
3.04,0.873957,0.436085,93.160248,92.690984
3.042,0.868374,0.42354,93.204304,92.713319
3.044,0.857698,0.412351,93.263377,92.754517
3.046,0.843388,0.402425,93.327506,92.802175
3.048,0.828142,0.393868,93.390189,92.847538
3.05,0.814153,0.386685,93.441714,92.877945
3.052,0.801909,0.381154,93.481601,92.893921
3.054,0.788783,0.376722,93.518119,92.909823
3.056,0.774699,0.37307,93.556759,92.933036
3.058,0.756669,0.369813,93.607188,92.979379
3.06,0.738702,0.366547,93.661404,93.033113
3.062,0.724256,0.362435,93.714936,93.084394
3.064,0.715549,0.356954,93.761011,93.119693
3.066,0.715236,0.350295,93.794348,93.130004
3.068,0.716111,0.342781,93.826916,93.136832
3.07,0.715177,0.334659,93.863225,93.14743
3.072,0.706668,0.326544,93.912184,93.180342
3.074,0.691165,0.318859,93.970317,93.230575
3.076,0.672681,0.311185,94.029151,93.283312
3.078,0.65427,0.303126,94.081834,93.327296
3.08,0.639776,0.29507,94.120473,93.349162
3.082,0.628481,0.287542,94.153692,93.363479
3.084,0.620198,0.281017,94.187219,93.378662
3.086,0.612982,0.275995,94.231321,93.41107
3.088,0.606171,0.272453,94.288782,93.465699
3.09,0.599379,0.270623,94.347398,93.522516
3.092,0.591864,0.270076,94.404685,93.577389
3.094,0.583895,0.27007,94.447021,93.609351
3.096,0.575137,0.270832,94.479774,93.625065
3.098,0.565157,0.26838,94.514025,93.642206
3.1,0.554416,0.263216,94.552888,93.665675
3.102,0.54288,0.25292,94.609492,93.715329
3.104,0.531304,0.241701,94.673215,93.775203
3.106,0.518855,0.233167,94.735649,93.834791
3.108,0.506635,0.229761,94.789772,93.882846
