WAVELENGTH,AR-AR-T-00AOI,AR-AR-T-30AOI,AR-AR-T-45AOI,AR-AR-T-55AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,AR-R-00AOI,AR-R-30AOI,DLC-R-00AOI
6.422,62.48824,75.906904,79.41097,79.364717,65.512023,67.846741,69.83116,70.665306,15.099854,10.255662,17.827477
6.424,62.516232,75.984572,79.472252,79.418073,65.617501,67.991657,69.975408,70.799194,15.027848,10.210579,17.787444
6.426,62.536429,76.057329,79.529181,79.467396,65.717824,68.129655,70.112802,70.92649,14.958206,10.168383,17.747721
6.428,62.555579,76.122942,79.580355,79.511402,65.806837,68.249824,70.232232,71.036775,14.898474,10.130384,17.71243
6.43,62.572644,76.183064,79.626686,79.550916,65.889759,68.361586,70.343328,71.139073,14.847275,10.095568,17.680847
6.432,62.586259,76.238473,79.668849,79.586571,65.967743,68.466732,70.447863,71.235056,14.800846,10.063541,17.651223
6.434,62.59647,76.289746,79.707417,79.618907,66.041236,68.565759,70.546286,71.325156,14.759425,10.034039,17.62367
6.436,62.601639,76.337077,79.742573,79.64812,66.110684,68.659614,70.639537,71.410278,14.722754,10.006988,17.598029
6.438,62.601621,76.379214,79.773008,79.673065,66.176176,68.749997,70.729464,71.49219,14.690852,9.983024,17.574288
6.44,62.603117,76.417513,79.800156,79.694963,66.237188,68.833934,70.81292,71.567877,14.663055,9.961431,17.552947
6.442,62.605869,76.453762,79.825901,79.715422,66.293149,68.907828,70.886082,71.633675,14.639374,9.941275,17.533974
